user,artist,sex,country
1,red hot chili peppers,f,Germany
1,the black dahlia murder,f,Germany
1,goldfrapp,f,Germany
1,dropkick murphys,f,Germany
1,le tigre,f,Germany
1,schandmaul,f,Germany
1,edguy,f,Germany
1,jack johnson,f,Germany
1,eluveitie,f,Germany
1,the killers,f,Germany
1,judas priest,f,Germany
1,rob zombie,f,Germany
1,john mayer,f,Germany
1,the who,f,Germany
1,guano apes,f,Germany
1,the rolling stones,f,Germany
3,devendra banhart,m,United States
3,boards of canada,m,United States
3,cocorosie,m,United States
3,aphex twin,m,United States
3,animal collective,m,United States
3,atmosphere,m,United States
3,joanna newsom,m,United States
3,air,m,United States
3,portishead,m,United States
3,massive attack,m,United States
3,broken social scene,m,United States
3,arcade fire,m,United States
3,plaid,m,United States
3,prefuse 73,m,United States
3,m83,m,United States
3,the flashbulb,m,United States
3,pavement,m,United States
3,goldfrapp,m,United States
3,amon tobin,m,United States
3,sage francis,m,United States
3,four tet,m,United States
3,max richter,m,United States
3,autechre,m,United States
3,radiohead,m,United States
3,neutral milk hotel,m,United States
3,beastie boys,m,United States
3,aesop rock,m,United States
3,mf doom,m,United States
3,the books,m,United States
4,tv on the radio,m,United Kingdom
4,tool,m,United Kingdom
4,kyuss,m,United Kingdom
4,dj shadow,m,United Kingdom
4,air,m,United Kingdom
4,a tribe called quest,m,United Kingdom
4,the cinematic orchestra,m,United Kingdom
4,beck,m,United Kingdom
4,bon iver,m,United Kingdom
4,röyksopp,m,United Kingdom
4,bonobo,m,United Kingdom
4,the decemberists,m,United Kingdom
4,snow patrol,m,United Kingdom
4,battles,m,United Kingdom
4,the prodigy,m,United Kingdom
4,pink floyd,m,United Kingdom
4,rjd2,m,United Kingdom
4,the flaming lips,m,United Kingdom
4,michael jackson,m,United Kingdom
4,mgmt,m,United Kingdom
4,the rolling stones,m,United Kingdom
4,late of the pier,m,United Kingdom
4,flight of the conchords,m,United Kingdom
4,simian mobile disco,m,United Kingdom
4,muse,m,United Kingdom
4,fleetwood mac,m,United Kingdom
4,led zeppelin,m,United Kingdom
5,dream theater,m,Finland
5,ac/dc,m,Finland
5,metallica,m,Finland
5,iron maiden,m,Finland
5,bob marley & the wailers,m,Finland
5,megadeth,m,Finland
5,children of bodom,m,Finland
5,trivium,m,Finland
5,nightwish,m,Finland
5,sublime,m,Finland
5,volbeat,m,Finland
6,lily allen,m,Portugal
6,kanye west,m,Portugal
6,sigur rós,m,Portugal
6,pink floyd,m,Portugal
6,stevie wonder,m,Portugal
6,metallica,m,Portugal
6,thievery corporation,m,Portugal
6,iron maiden,m,Portugal
6,the streets,m,Portugal
6,muse,m,Portugal
6,faith no more,m,Portugal
6,manu chao,m,Portugal
6,tenacious d,m,Portugal
6,depeche mode,m,Portugal
6,justin timberlake,m,Portugal
6,green day,m,Portugal
6,snow patrol,m,Portugal
6,dream theater,m,Portugal
6,u2,m,Portugal
6,jay-z,m,Portugal
6,type o negative,m,Portugal
6,pearl jam,m,Portugal
6,queen,m,Portugal
7,soundgarden,m,Finland
7,stone temple pilots,m,Finland
7,buckethead,m,Finland
7,dream theater,m,Finland
7,alice in chains,m,Finland
7,type o negative,m,Finland
7,pink floyd,m,Finland
7,rush,m,Finland
7,king crimson,m,Finland
7,camel,m,Finland
7,ac/dc,m,Finland
7,tool,m,Finland
7,disturbed,m,Finland
7,oasis,m,Finland
7,jethro tull,m,Finland
7,porcupine tree,m,Finland
7,audioslave,m,Finland
7,aerosmith,m,Finland
7,pearl jam,m,Finland
7,the verve,m,Finland
7,rammstein,m,Finland
7,led zeppelin,m,Finland
9,arch enemy,m,United States
9,strapping young lad,m,United States
9,kreator,m,United States
9,children of bodom,m,United States
9,iron maiden,m,United States
9,sabaton,m,United States
9,helloween,m,United States
9,mastodon,m,United States
9,pantera,m,United States
9,manowar,m,United States
9,gojira,m,United States
9,devildriver,m,United States
9,slayer,m,United States
9,hammerfall,m,United States
9,hatebreed,m,United States
9,in flames,m,United States
9,meshuggah,m,United States
9,finntroll,m,United States
9,gamma ray,m,United States
12,queen,m,Italy
12,the beatles,m,Italy
12,lynyrd skynyrd,m,Italy
12,neil young,m,Italy
12,the rolling stones,m,Italy
12,the who,m,Italy
12,led zeppelin,m,Italy
12,pink floyd,m,Italy
12,black sabbath,m,Italy
12,the police,m,Italy
12,t. rex,m,Italy
12,simon & garfunkel,m,Italy
12,eagles,m,Italy
12,jimi hendrix,m,Italy
12,jethro tull,m,Italy
12,bee gees,m,Italy
12,van halen,m,Italy
12,iron maiden,m,Italy
12,bob dylan,m,Italy
12,kiss,m,Italy
12,ac/dc,m,Italy
12,tenacious d,m,Italy
12,aerosmith,m,Italy
12,ennio morricone,m,Italy
12,scorpions,m,Italy
12,bruce springsteen,m,Italy
12,dire straits,m,Italy
12,guns n roses,m,Italy
12,inxs,m,Italy
12,rammstein,m,Italy
13,thom yorke,m,Austria
13,tom waits,m,Austria
13,the notwist,m,Austria
13,einstürzende neubauten,m,Austria
13,the flaming lips,m,Austria
13,billie holiday,m,Austria
13,the books,m,Austria
14,sonic youth,m,"Korea, Republic of"
14,the fall,m,"Korea, Republic of"
14,mogwai,m,"Korea, Republic of"
14,the velvet underground,m,"Korea, Republic of"
14,stereolab,m,"Korea, Republic of"
14,my bloody valentine,m,"Korea, Republic of"
14,the radio dept.,m,"Korea, Republic of"
14,the kinks,m,"Korea, Republic of"
18,sonata arctica,m,United States
18,infected mushroom,m,United States
18,iron maiden,m,United States
18,creedence clearwater revival,m,United States
18,nightwish,m,United States
18,mindless self indulgence,m,United States
18,electric light orchestra,m,United States
18,john williams,m,United States
18,michael jackson,m,United States
18,fleetwood mac,m,United States
18,aphex twin,m,United States
19,the kills,f,Sweden
19,a perfect circle,f,Sweden
19,crystal castles,f,Sweden
19,beck,f,Sweden
19,coldplay,f,Sweden
19,kent,f,Sweden
19,interpol,f,Sweden
19,nine inch nails,f,Sweden
19,sonic youth,f,Sweden
19,beirut,f,Sweden
19,gorillaz,f,Sweden
19,mgmt,f,Sweden
19,the radio dept.,f,Sweden
19,håkan hellström,f,Sweden
19,the kooks,f,Sweden
19,klaxons,f,Sweden
19,fischerspooner,f,Sweden
19,bob marley & the wailers,f,Sweden
19,portishead,f,Sweden
19,sex pistols,f,Sweden
19,iron & wine,f,Sweden
19,the shins,f,Sweden
19,yo la tengo,f,Sweden
19,the libertines,f,Sweden
19,thom yorke,f,Sweden
19,röyksopp,f,Sweden
19,animal collective,f,Sweden
19,nouvelle vague,f,Sweden
19,josé gonzález,f,Sweden
19,bloc party,f,Sweden
